Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
84,62.699969844657495,94.16102040117359,0.0059814453125,0.011962890625,0,2584.0,0.00028573371434139575,32.0,0.00028573371434139575,0,0.00028573371434139575,0.00028573371434139575,83:0.002239228901969592;83:0.002239228901969592;83:0.0026412595334157907;83:0.0026412595334157907;85:0.004241304425224385;85:0.004241304425224385;85:0.005266047486516379;85:0.005266047486516379,83:68.0;83:68.0;83:68.0;83:68.0;85:68.0;85:68.0;85:68.0;85:68.0,83:0.0018369548264456637;83:0.0018369548264456637;83:0.0032943714193962026;83:0.0032943714193962026;85:0.0025745881299339968;85:0.0025745881299339968;85:0.003647251024075121;85:0.003647251024075121,0.0059814453125,Yes
85,240.60606515600503,242.359606500844,0.003662109375,0.00537109375,0.001953125,2584.0,0.00023305072397526206,32.0,0.00023305072397526206,0,0.00023305072397526206,0.00023305072397526206,77:0.0016265139732153655;77:0.0016265139732153655;77:0.01338055980631378;77:0.01338055980631378;84:0.004241304425224385;84:0.004241304425224385;84:0.005266047486516379;84:0.005266047486516379;86:0.009534254139698328;86:0.009534254139698328;86:0.013792015051451528;86:0.013792015051451528,77:68.0;77:68.0;77:68.0;77:68.0;84:68.0;84:68.0;84:68.0;84:68.0;86:68.0;86:68.0;86:68.0;86:68.0,77:0.0015865096927256406;77:0.0015865096927256406;77:0.002160867985140008;77:0.002160867985140008;84:0.0025745881299339968;84:0.0025745881299339968;84:0.003647251024075121;84:0.003647251024075121;86:0.0027196064658991936;86:0.0027196064658991936;86:0.0038706887740081186;86:0.0038706887740081186,0.003662109375,Yes
86,294.46725964921916,246.92901704894203,0.0228271484375,0.010498046875,0.03515625,2584.0,0.00015735116441517187,32.0,0.00015735116441517187,0,0.00015735116441517187,0.00015735116441517187,85:0.009534254139698328;85:0.009534254139698328;85:0.013792015051451528;85:0.013792015051451528;87:0.0074599227982534155;87:0.0074599227982534155;87:0.006511154370492711;87:0.006511154370492711,85:68.0;85:68.0;85:68.0;85:68.0;87:68.0;87:68.0;87:68.0;87:68.0,85:0.0027196064658991936;85:0.0027196064658991936;85:0.0038706887740081186;85:0.0038706887740081186;87:0.01151722655546833;87:0.01151722655546833;87:0.011684033467331961;87:0.011684033467331961,0.0228271484375,Yes
87,334.2521997803185,340.372798346,0.0369873046875,0.071044921875,0.0029296875,2584.0,0.0002283019585940155,32.0,0.0002283019585940155,0,0.0002283019585940155,0.0002283019585940155,86:0.0074599227982534155;86:0.0074599227982534155;86:0.006511154370492711;86:0.006511154370492711;88:0.0017899666624986432;88:0.0017899666624986432;88:0.0009910593689657077;88:0.0009910593689657077;97:0.0016562698938091258;97:0.0016562698938091258;97:0.004035566127511325;97:0.004035566127511325,86:68.0;86:68.0;86:68.0;86:68.0;88:68.0;88:68.0;88:68.0;88:68.0;97:68.0;97:68.0;97:68.0;97:68.0,86:0.01151722655546833;86:0.01151722655546833;86:0.011684033467331961;86:0.011684033467331961;88:0.003326266546447354;88:0.003326266546447354;88:0.0009198812798134337;88:0.0009198812798134337;97:0.0013990949138081021;97:0.0013990949138081021;97:0.0013044851015841519;97:0.0013044851015841519,0.0369873046875,Yes
88,238.49471369174682,449.63810179056804,0.0079345703125,0.012939453125,0.0029296875,2584.0,0.000760547995785417,32.0,0.000760547995785417,0,0.000760547995785417,0.000760547995785417,87:0.0017899666624986432;87:0.0017899666624986432;87:0.0009910593689657077;87:0.0009910593689657077;89:0.0013242309925203255;89:0.0013242309925203255;89:0.0015464990171495385;89:0.0015464990171495385,87:68.0;87:68.0;87:68.0;87:68.0;89:68.0;89:68.0;89:68.0;89:68.0,87:0.003326266546447354;87:0.003326266546447354;87:0.0009198812798134337;87:0.0009198812798134337;89:0.0028022348569849143;89:0.0028022348569849143;89:0.0009058823775672797;89:0.0009058823775672797,0.0079345703125,Yes
89,265.6347869479436,317.65759487536843,0.004638671875,0.006103515625,0.003173828125,2584.0,0.00010810015567596826,32.0,0.00010810015567596826,0,0.00010810015567596826,0.00010810015567596826,78:0.0010896588576015664;78:0.0010896588576015664;78:0.0014282207872109431;78:0.0014282207872109431;88:0.0013242309925203255;88:0.0013242309925203255;88:0.0015464990171495385;88:0.0015464990171495385;90:0.0008376028075772757;90:0.0008376028075772757;90:0.0013867747572250122;90:0.0013867747572250122,78:68.0;78:68.0;78:68.0;78:68.0;88:68.0;88:68.0;88:68.0;88:68.0;90:68.0;90:68.0;90:68.0;90:68.0,78:0.0012602867072945;78:0.0012602867072945;78:0.0012930693558352857;78:0.0012930693558352857;88:0.0028022348569849143;88:0.0028022348569849143;88:0.0009058823775672797;88:0.0009058823775672797;90:0.0013871659429046113;90:0.0013871659429046113;90:0.0008980762372523821;90:0.0008980762372523821,0.004638671875,Yes
90,190.59186593216722,222.25736426599906,0.003662109375,0.00537109375,0.001953125,2584.0,8.389706121980524e-05,32.0,8.389706121980524e-05,0,8.389706121980524e-05,8.389706121980524e-05,89:0.0008376028075772757;89:0.0008376028075772757;89:0.0013867747572250122;89:0.0013867747572250122;91:0.002233675092241899;91:0.002233675092241899;91:0.004336138995473776;91:0.004336138995473776,89:68.0;89:68.0;89:68.0;89:68.0;91:68.0;91:68.0;91:68.0;91:68.0,89:0.0013871659429046113;89:0.0013871659429046113;89:0.0008980762372523821;89:0.0008980762372523821;91:0.004886715713054074;91:0.004886715713054074;91:0.00416466160916712;91:0.00416466160916712,0.003662109375,Yes
91,267.3230851755096,427.71159849670727,0.012451171875,0.02099609375,0.00390625,2584.0,0.00018929658255956709,32.0,0.00018929658255956709,0,0.00018929658255956709,0.00018929658255956709,90:0.002233675092241899;90:0.002233675092241899;90:0.004336138995473776;90:0.004336138995473776;92:0.0011630217595410275;92:0.0011630217595410275;92:0.0016172319692416004;92:0.0016172319692416004;98:0.0013385215655693228;98:0.0013385215655693228;98:0.0016936026174669272;98:0.0016936026174669272,90:68.0;90:68.0;90:68.0;90:68.0;92:108.0;92:108.0;92:108.0;92:108.0;98:208.0;98:208.0;98:208.0;98:208.0,90:0.004886715713054074;90:0.004886715713054074;90:0.00416466160916712;90:0.00416466160916712;92:0.012423598670814856;92:0.012423598670814856;92:0.013001196491410516;92:0.013001196491410516;98:0.09869643003378364;98:0.09869643003378364;98:0.08412232847613826;98:0.08412232847613826,0.012451171875,Yes
92,197.18790032172026,197.2051985498146,0.012451171875,0.01220703125,0.0126953125,2584.0,0.00013446098964965436,32.0,0.00013446098964965436,0,0.00013446098964965436,0.00013446098964965436,91:0.0011630217595410275;91:0.0011630217595410275;91:0.0016172319692416004;91:0.0016172319692416004;93:0.010320144244565871;93:0.010320144244565871;93:0.0025627170992562065;93:0.0025627170992562065,91:108.0;91:108.0;91:108.0;91:108.0;93:68.0;93:68.0;93:68.0;93:68.0,91:0.012423598670814856;91:0.012423598670814856;91:0.013001196491410516;91:0.013001196491410516;93:0.010429891984215317;93:0.010429891984215317;93:0.0013575431873873167;93:0.0013575431873873167,0.012451171875,Yes
93,227.32538059442825,172.62688287602631,0.003662109375,0.004150390625,0.003173828125,2584.0,0.0007862294286472887,32.0,0.0007862294286472887,0,0.0007862294286472887,0.0007862294286472887,79:0.0021082494629606763;79:0.0021082494629606763;79:0.005043316704361117;79:0.005043316704361117;92:0.010320144244565871;92:0.010320144244565871;92:0.0025627170992562065;92:0.0025627170992562065;94:0.0016974568045026173;94:0.0016974568045026173;94:0.0049951221543301505;94:0.0049951221543301505,79:68.0;79:68.0;79:68.0;79:68.0;92:68.0;92:68.0;92:68.0;92:68.0;94:68.0;94:68.0;94:68.0;94:68.0,79:0.002795586153064411;79:0.002795586153064411;79:0.0013883027213722199;79:0.0013883027213722199;92:0.010429891984215317;92:0.010429891984215317;92:0.0013575431873873167;92:0.0013575431873873167;94:0.0021601726812100763;94:0.0021601726812100763;94:0.002634958818946209;94:0.002634958818946209,0.003662109375,Yes
94,246.43750796055969,250.7263005589731,0.00390625,0.004638671875,0.003173828125,2584.0,0.00017426403956509841,32.0,0.00017426403956509841,0,0.00017426403956509841,0.00017426403956509841,93:0.0016974568045026173;93:0.0016974568045026173;93:0.0049951221543301505;93:0.0049951221543301505;95:0.001936236211950243;95:0.001936236211950243;95:0.0021408022807902494;95:0.0021408022807902494,93:68.0;93:68.0;93:68.0;93:68.0;95:68.0;95:68.0;95:68.0;95:68.0,93:0.0021601726812100763;93:0.0021601726812100763;93:0.002634958818946209;93:0.002634958818946209;95:0.002577606027007906;95:0.002577606027007906;95:0.0026851167487600136;95:0.0026851167487600136,0.00390625,Yes
95,287.2658696743367,261.3147768627334,0.0045166015625,0.0205078125,0.003173828125,2584.0,0.0001388472048344091,32.0,0.0001388472048344091,0,0.0001388472048344091,0.0001388472048344091,94:0.001936236211950243;94:0.001936236211950243;94:0.0021408022807902494;94:0.0021408022807902494;99:0.001107440650877728;99:0.001107440650877728;99:0.0011271990526497688;99:0.0011271990526497688,94:68.0;94:68.0;94:68.0;94:68.0;99:68.0;99:68.0;99:68.0;99:68.0,94:0.002577606027007906;94:0.002577606027007906;94:0.0026851167487600136;94:0.0026851167487600136;99:0.0012313793668558004;99:0.0012313793668558004;99:0.0009943094851241618;99:0.0009943094851241618,0.0045166015625,Yes
96,260.4133159000678,432.5502769296784,0.0064697265625,0.011962890625,0.0009765625,2584.0,0.00022880277290902724,32.0,0.00022880277290902724,0,0.00022880277290902724,0.00022880277290902724,83:0.002772371246792915;83:0.002772371246792915;83:0.002328575194167626;83:0.002328575194167626;103:0.0022486423750564533;103:0.0022486423750564533;103:0.004368268630734112;103:0.004368268630734112,83:68.0;83:68.0;83:68.0;83:68.0;103:68.0;103:68.0;103:68.0;103:68.0,83:0.0017630603576480885;83:0.0017630603576480885;83:0.0016118395443767142;83:0.0016118395443767142;103:0.0039761630015268945;103:0.0039761630015268945;103:0.0012314907003766196;103:0.0012314907003766196,0.0064697265625,Yes
97,245.2017796542057,360.9566631232731,0.0029296875,0.005126953125,0.000732421875,2584.0,0.00030922213673671966,32.0,0.00030922213673671966,0,0.00030922213673671966,0.00030922213673671966,87:0.0016562698938091258;87:0.0016562698938091258;87:0.004035566127511325;87:0.004035566127511325;107:0.0021450898165517596;107:0.0021450898165517596;107:0.0027368166258390225;107:0.0027368166258390225,87:68.0;87:68.0;87:68.0;87:68.0;107:68.0;107:68.0;107:68.0;107:68.0,87:0.0013990949138081021;87:0.0013990949138081021;87:0.0013044851015841519;87:0.0013044851015841519;107:0.0026019736684540495;107:0.0026019736684540495;107:0.0016623489276740844;107:0.0016623489276740844,0.0029296875,Yes
98,270.7680505620118,475.3534447464582,0.003173828125,0.004150390625,0.002197265625,2584.0,0.00019888347566811851,32.0,0.00019888347566811851,0,0.00019888347566811851,0.00019888347566811851,91:0.0013385215655693228;91:0.0013385215655693228;91:0.0016936026174669272;91:0.0016936026174669272;111:0.0015872572857109912;111:0.0015872572857109912;111:0.0021644969530779934;111:0.0021644969530779934,91:208.0;91:208.0;91:208.0;91:208.0;111:68.0;111:68.0;111:68.0;111:68.0,91:0.09869643003378364;91:0.09869643003378364;91:0.08412232847613826;91:0.08412232847613826;111:0.0012977750153147782;111:0.0012977750153147782;111:0.001764880231012761;111:0.001764880231012761,0.003173828125,Yes
99,177.92994195583088,228.87820328814513,0.0048828125,0.00732421875,0.00244140625,2584.0,0.00030478367439940474,32.0,0.00030478367439940474,0,0.00030478367439940474,0.00030478367439940474,95:0.001107440650877728;95:0.001107440650877728;95:0.0011271990526497688;95:0.0011271990526497688;115:0.011249152704724569;115:0.011249152704724569;115:0.01524726686782607;115:0.01524726686782607,95:68.0;95:68.0;95:68.0;95:68.0;115:68.0;115:68.0;115:68.0;115:68.0,95:0.0012313793668558004;95:0.0012313793668558004;95:0.0009943094851241618;95:0.0009943094851241618;115:0.022073440283179036;115:0.022073440283179036;115:0.016389284833213003;115:0.016389284833213003,0.0048828125,Yes
100,214.28572347980716,286.39093419123867,0.0037841796875,0.00732421875,0.000244140625,2584.0,0.0001481690743583402,32.0,0.0001481690743583402,0,0.0001481690743583402,0.0001481690743583402,101:0.0009502200192538779;101:0.0009502200192538779;101:0.0008721460978478035;101:0.0008721460978478035,101:68.0;101:68.0;101:68.0;101:68.0,101:0.0007744735222558474;101:0.0007744735222558474;101:0.0009911579815805316;101:0.0009911579815805316,0.0037841796875,Yes
101,297.1597212116198,331.7477699749771,0.0028076171875,0.003662109375,0.001953125,2584.0,7.303092760467443e-05,32.0,7.303092760467443e-05,0,7.303092760467443e-05,7.303092760467443e-05,100:0.0009502200192538779;100:0.0009502200192538779;100:0.0008721460978478035;100:0.0008721460978478035;102:0.000957141975260839;102:0.000957141975260839;102:0.001894774270287336;102:0.001894774270287336;116:0.0012255398388369143;116:0.0012255398388369143;116:0.0008359100972408773;116:0.0008359100972408773,100:68.0;100:68.0;100:68.0;100:68.0;102:68.0;102:68.0;102:68.0;102:68.0;116:68.0;116:68.0;116:68.0;116:68.0,100:0.0007744735222558474;100:0.0007744735222558474;100:0.0009911579815805316;100:0.0009911579815805316;102:0.0013834617768390678;102:0.0013834617768390678;102:0.0008755411673262714;102:0.0008755411673262714;116:0.0016870761301219506;116:0.0016870761301219506;116:0.0014072282662762892;116:0.0014072282662762892,0.0028076171875,Yes
