"source_file","job_id","num_qubits","physical_qubits","backend","status","folder","experiment_json","calibration_csv","expectation_value","estimated_fidelity","shots","utc_execution_time"
"w_state_1780694516.6782844_7_[68, 69, 70, 71, 72, 73, 74].json","d8hjrstv8cos73f4ico0","7","[68, 69, 70, 71, 72, 73, 74]","ibm_quebec","ok","w_state_n_7_d8hjrstv8cos73f4ico0_68_69_70_71_72_73_74","7_w_state_2026-06-05T22_14_38Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.32206782944908063","0,6779321705509194","16384","2026-06-05T22:14:38.611717Z"
"w_state_1780694517.1910799_7_[50, 51, 58, 71, 72, 73, 79].json","d8hjrt5v8cos73f4icp0","7","[50, 51, 58, 71, 72, 73, 79]","ibm_quebec","ok","w_state_n_7_d8hjrt5v8cos73f4icp0_50_51_58_71_72_73_79","7_w_state_2026-06-05T22_15_01Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.366940067584691","0,633059932415309","16384","2026-06-05T22:15:01.932095Z"
"w_state_1780694517.5940073_7_[50, 51, 58, 71, 72, 73, 74].json","d8hjrt5v8cos73f4icpg","7","[50, 51, 58, 71, 72, 73, 74]","ibm_quebec","ok","w_state_n_7_d8hjrt5v8cos73f4icpg_50_51_58_71_72_73_74","7_w_state_2026-06-05T22_15_43Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.4193703161127389","0,5806296838872611","16384","2026-06-05T22:15:43.124051Z"
"w_state_1780694518.093627_7_[70, 69, 68, 67, 66, 65, 77].json","d8hjrtdv8cos73f4icq0","7","[70, 69, 68, 67, 66, 65, 77]","ibm_quebec","ok","w_state_n_7_d8hjrtdv8cos73f4icq0_70_69_68_67_66_65_77","7_w_state_2026-06-05T22_16_05Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.27919638955937187","0,7208036104406281","16384","2026-06-05T22:16:05.730228Z"
"w_state_1780696472.2573626_8_[34, 33, 39, 53, 52, 51, 58, 71, 70, 69, 68, 67, 66, 65, 77, 85].json","d8hkb5pe8nrc73bhbjlg","8","[34, 33, 39, 53, 52, 51, 58, 71, 70, 69, 68, 67, 66, 65, 77, 85]","ibm_quebec","ok","w_state_n_8_d8hkb5pe8nrc73bhbjlg_34_33_39_53_52_51_58_71_70_69_68_67","8_w_state_2026-06-05T22_16_17Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.4198660332780726","0,5801339667219274","16384","2026-06-05T22:16:17.910357Z"
"w_state_1780696514.3322256_8_[34, 33, 39, 53, 52, 51, 58, 71, 70, 69, 68, 67, 66, 65, 77, 85].json","d8hkbge6983c73dr66qg","8","[34, 33, 39, 53, 52, 51, 58, 71, 70, 69, 68, 67, 66, 65, 77, 85]","ibm_quebec","ok","w_state_n_8_d8hkbge6983c73dr66qg_34_33_39_53_52_51_58_71_70_69_68_67","8_w_state_2026-06-05T22_16_31Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.3886415619018502","0,6113584380981498","16384","2026-06-05T22:16:31.978132Z"
"w_state_1780697092.3430898_8_[34, 33, 39, 53, 52, 51, 58, 71, 70, 69, 68, 67, 66, 65, 77, 85].json","d8hkg0pe8nrc73bhbpkg","8","[34, 33, 39, 53, 52, 51, 58, 71, 70, 69, 68, 67, 66, 65, 77, 85]","ibm_quebec","ok","w_state_n_8_d8hkg0pe8nrc73bhbpkg_34_33_39_53_52_51_58_71_70_69_68_67","8_w_state_2026-06-05T22_16_54Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.37271556752785884","0,6272844324721412","16384","2026-06-05T22:16:54.866417Z"
"w_state_1780697092.9244514_8_[121, 116, 101, 102, 103, 104, 105, 117, 125, 126, 127, 137, 147, 148, 149, 150].json","d8hkg11e8nrc73bhbpl0","8","[121, 116, 101, 102, 103, 104, 105, 117, 125, 126, 127, 137, 147, 148, 149, 150]","ibm_quebec","ok","w_state_n_8_d8hkg11e8nrc73bhbpl0_121_116_101_102_103_104_105_117_125","8_w_state_2026-06-05T22_17_58Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.3276010632949382","0,6723989367050618","16384","2026-06-05T22:17:58.054197Z"
"w_state_1780697093.5154264_8_[101, 102, 103, 104, 105, 117, 125, 126, 127, 137, 147, 148, 149, 150, 151, 138].json","d8hkg11e8nrc73bhbpm0","8","[101, 102, 103, 104, 105, 117, 125, 126, 127, 137, 147, 148, 149, 150, 151, 138]","ibm_quebec","ok","w_state_n_8_d8hkg11e8nrc73bhbpm0_101_102_103_104_105_117_125_126_127","8_w_state_2026-06-05T22_18_11Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.3808418337899162","0,6191581662100838","16384","2026-06-05T22:18:11.047080Z"
"w_state_1780697093.905498_8_[48, 49, 38, 29, 30, 31, 32, 33, 39, 53, 52, 51, 58, 71, 72, 73].json","d8hkg1c2upec739l78q0","8","[48, 49, 38, 29, 30, 31, 32, 33, 39, 53, 52, 51, 58, 71, 72, 73]","ibm_quebec","ok","w_state_n_8_d8hkg1c2upec739l78q0_48_49_38_29_30_31_32_33_39_53_52_51","8_w_state_2026-06-05T22_18_25Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.3968635679011623","0,6031364320988377","16384","2026-06-05T22:18:25.644891Z"
"w_state_1780697094.484202_8_[33, 39, 53, 52, 51, 58, 71, 70, 69, 68, 67, 66, 65, 77, 85, 84].json","d8hkg1c2upec739l78qg","8","[33, 39, 53, 52, 51, 58, 71, 70, 69, 68, 67, 66, 65, 77, 85, 84]","ibm_quebec","ok","w_state_n_8_d8hkg1c2upec739l78qg_33_39_53_52_51_58_71_70_69_68_67_66","8_w_state_2026-06-05T22_18_39Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.3420469009629188","0,6579530990370812","16384","2026-06-05T22:18:39.217724Z"
